driverId,week,hours-logged,miles-logged
35,51,61,600
63,41,68,2000
30,47,64,1500
11,22,68,2000
66,30,59,1000
34,43,60,2600
43,19,68,1500
22,32,52,2000
51,52,75,0
53,12,61,3600
92,23,66,400
85,47,72,2200
20,16,60,1100
61,1,75,300
59,1,77,3800
16,43,67,1700
90,27,54,3400
76,35,59,3100
45,39,79,1000
51,44,65,1400
37,43,73,1200
21,45,52,3700
87,29,52,600
98,26,74,700
56,23,55,2200
84,36,61,900
109,31,70,1700
102,38,50,2500
101,39,55,1500
105,12,58,200
79,31,78,3200
65,49,67,700
52,34,70,1300
59,5,70,2800
95,34,64,900
105,29,73,400
49,29,53,3900
13,24,71,500
30,21,64,1400
93,3,79,0
66,51,65,3200
41,38,74,2700
101,24,72,900
51,49,62,3500
36,25,61,3800
45,25,53,1900
66,43,52,2400
49,2,61,200
99,47,71,3400
74,10,72,2800
71,2,56,1700
41,49,71,3500
77,33,50,3700
52,11,79,1900
101,51,73,900
105,6,74,500
31,11,68,2500
69,5,54,2500
81,36,62,2900
40,15,60,100
31,38,54,2800
57,16,68,1300
66,39,55,1500
80,21,68,2300
64,48,59,1200
66,19,67,2200
82,8,78,1900
34,34,52,3200
56,35,64,2800
86,52,58,1500
30,24,60,800
108,37,70,3300
100,50,63,3900
70,28,74,3700
105,11,77,1700
95,3,57,1500
77,27,75,1500
32,52,72,1300
68,13,50,900
109,20,72,100
82,49,74,900
72,47,73,3900
31,48,66,2000
103,32,70,2900
107,32,72,2900
42,30,53,2600
105,31,62,200
43,17,61,1800
92,4,55,800
94,33,58,400
14,30,71,1300
107,17,66,900
46,37,77,1100
31,22,68,2300
46,7,77,3400
65,17,57,1500
43,44,57,300
45,36,52,2900
36,14,52,3000
24,18,61,200
55,41,53,3100
102,20,52,1200
53,51,56,2500
89,36,54,2800
23,8,77,3200
26,12,57,2600
90,24,63,700
25,48,71,700
51,19,70,400
25,41,67,2000
35,24,66,3700
105,40,70,1700
15,29,71,200
65,21,65,1500
99,41,74,1300
55,46,56,2700
109,34,80,1000
103,18,75,3400
17,49,50,3600
34,43,61,800
49,8,50,2000
80,21,70,500
47,31,79,4000
95,48,75,3900
71,44,75,2700
52,3,67,3600
13,6,75,3900
22,11,60,3500
20,22,58,3200
26,11,71,1200
81,27,54,2900
59,16,56,400
52,49,72,2700
11,45,66,3900
62,15,51,2800
58,40,53,2600
50,3,79,1100
59,33,78,3700
49,44,73,3000
89,23,73,1800
35,30,77,400
92,19,53,3200
79,15,70,2900
38,42,80,1700
51,43,69,1700
64,38,67,100
23,44,53,1200
68,41,74,1000
62,6,66,0
39,47,51,1900
16,38,75,900
90,31,54,4000
66,44,51,1600
61,51,64,1800
70,46,66,2200
41,12,56,1500
43,51,59,500
103,12,63,3000
30,24,59,3600
35,31,53,1100
85,9,53,2700
100,29,79,3600
13,7,52,3800
56,34,65,300
93,42,67,4000
55,22,51,600
87,39,51,3500
51,32,68,3600
24,28,55,1200
73,49,51,700
16,24,75,3800
62,13,72,3200
75,42,55,400
108,17,61,1900
94,17,53,400
72,40,65,100
87,6,74,1600
23,25,78,2100
91,33,76,1400
28,7,56,600
23,6,57,200
40,36,64,900
84,22,67,3000
85,24,73,3900
91,27,64,1400
88,34,60,600
66,21,80,300
64,32,73,1900
24,14,51,3000
100,22,78,2800
76,48,76,900
71,27,74,2800
44,22,70,200
94,8,77,400
17,13,76,1300
23,43,78,500
61,5,52,2400
95,40,72,3400
27,49,56,3100
71,29,75,2600
22,25,73,3100
56,27,50,800
87,14,71,3800
85,42,55,1300
107,50,58,1200
100,16,57,1300
30,39,55,1700
34,2,58,600
43,34,55,4000
86,1,67,0
36,29,53,700
96,26,60,3300
61,17,57,1200
90,2,73,1900
82,51,74,2300
50,37,80,1100
68,33,65,100
42,36,63,3900
47,25,76,700
51,6,63,600
51,31,66,500
93,25,76,0
72,22,78,1900
56,2,66,2700
104,20,76,2000
79,36,61,3000
106,16,67,3600
58,1,59,2900
62,8,80,2900
46,18,53,0
66,21,55,1000
39,45,69,700
62,7,60,800
74,4,64,3400
63,2,57,900
50,18,63,200
42,33,55,2800
96,22,65,300
16,34,69,1200
23,35,51,300
14,48,60,1100
90,13,76,2800
41,26,51,2500
96,31,78,100
39,1,80,300
14,24,62,3000
95,6,79,2300
102,19,60,3300
43,41,64,3700
101,1,57,2200
20,14,68,2200
81,30,80,2200
14,13,65,900
101,51,66,3900
81,6,53,900
57,35,60,4000
41,27,69,900
21,39,54,4000
61,1,77,600
41,40,78,2400
94,32,80,3400
91,41,52,2600
93,41,67,2300
15,5,67,1700
106,36,80,800
85,34,55,1500
73,43,51,1800
83,40,66,2500
94,29,75,2200
46,15,71,2500
73,52,78,1800
85,40,64,600
35,26,79,4000
76,42,77,1800
28,49,50,800
25,45,79,3500
48,52,54,2000
35,39,63,3200
68,5,65,1800
97,7,53,2600
56,7,70,1800
17,20,57,2700
16,1,52,900
34,9,76,300
95,52,54,100
28,7,54,1900
54,3,57,300
30,3,55,3500
60,45,56,3300
79,49,74,3400
35,37,63,0
83,34,71,3300
15,17,58,1700
49,9,56,1200
49,39,77,300
106,35,69,1300
47,4,59,1500
56,32,66,3400
68,23,57,2000
62,13,64,4000
73,45,77,1300
86,33,58,2500
57,24,52,1200
67,37,78,400
32,15,72,3300
61,23,64,3900
107,27,73,3800
91,46,76,1300
62,27,80,1000
20,21,61,2200
94,13,74,3200
24,42,73,3300
65,40,79,2500
11,30,55,4000
54,41,61,3400
81,42,77,3600
44,43,64,400
102,35,75,800
107,39,74,100
81,21,51,300
38,4,53,1800
32,52,77,3000
92,29,65,3600
83,9,62,3400
98,23,51,3000
76,20,52,2800
43,15,57,100
45,9,50,1600
62,49,67,3100
38,13,62,1500
44,5,69,1400
106,35,70,2400
68,27,74,1300
34,2,55,2900
104,36,75,500
99,10,65,2800
53,28,65,2500
47,52,79,300
44,18,75,2000
24,33,54,1100
98,32,68,2600
108,14,50,600
48,10,53,600
88,17,53,2800
93,22,65,200
20,1,56,2400
19,51,55,3700
49,4,80,400
81,9,51,700
98,14,79,3700
108,20,55,1100
100,37,54,3800
107,25,71,500
93,32,77,2700
108,13,55,1700
26,13,65,2800
61,48,80,1800
69,6,76,200
72,47,58,0
64,45,61,800
66,9,62,2400
92,13,54,400
70,9,54,3800
67,48,62,200
85,40,58,2700
27,20,72,1800
53,2,72,3500
16,40,53,300
51,41,63,1600
61,19,53,3700
39,50,79,1000
26,27,60,500
22,16,61,3800
22,8,70,1700
35,47,77,2600
17,45,67,3600
26,25,78,1500
89,46,70,1100
54,37,59,800
85,16,69,0
101,51,50,2500
94,20,63,0
77,20,61,1500
62,25,71,4000
62,1,53,700
56,46,65,3300
85,39,54,1300
73,32,56,1100
58,4,77,1000
54,17,76,700
92,41,51,1600
31,38,52,800
59,6,55,2900
77,21,62,2500
36,49,69,2400
84,32,51,2900
103,1,78,400
58,34,70,1300
39,27,75,700
102,35,68,3500
21,40,79,3500
22,47,50,3400
39,42,70,3400
34,21,68,1000
19,39,60,3200
34,5,71,2900
49,2,66,1700
82,10,71,600
18,11,59,2600
57,5,77,3400
39,1,58,2400
90,19,59,1100
50,9,55,0
67,42,68,2800
37,33,72,4000
38,25,68,700
73,42,50,0
48,40,53,3400
64,25,69,0
69,17,54,100
40,2,69,2100
99,17,50,2600
38,11,53,100
35,37,52,3500
107,5,60,2300
101,29,56,3400
67,52,60,3700
34,16,63,1000
41,27,75,600
41,19,64,100
19,18,68,2000
104,35,65,1100
74,9,56,3300
53,29,79,3000
67,15,68,900
49,12,67,2600
13,50,51,1000
30,17,75,1700
95,5,74,3100
98,47,60,700
97,21,60,2600
15,44,80,2900
69,35,69,200
109,39,60,3400
81,7,57,2900
18,15,56,2400
22,20,53,600
33,48,66,600
74,22,67,1400
59,21,50,1600
20,39,54,100
26,32,61,300
87,29,80,2100
53,40,51,3600
74,52,76,4000
55,33,57,2100
30,42,75,3800
16,4,71,2000
84,37,51,2000
44,50,69,2100
38,7,64,3000
29,47,53,1500
80,21,70,2300
73,14,79,2900
69,10,72,1300
98,34,64,1200
62,9,71,900
25,30,56,2300
103,31,58,2800
46,27,73,1700
86,38,55,1000
34,50,60,3900
96,10,67,700
86,49,69,2200
109,34,73,3900
39,14,76,1200
27,4,75,2300
102,3,65,1900
30,31,67,3400
58,1,56,3700
41,4,61,1700
46,8,52,3600
85,8,55,600
22,45,74,2200
93,39,67,2900
97,8,62,2700
40,16,57,400
19,3,79,200
14,20,79,1800
40,12,62,3700
80,52,53,300
67,22,77,2700
52,10,70,100
51,50,56,1600
72,29,54,2600
27,22,65,1600
98,13,65,500
105,23,66,700
82,10,77,3000
31,37,68,1800
52,19,78,600
24,19,71,100
99,42,78,2400
63,5,72,4000
18,23,70,3400
58,43,56,3800
33,38,64,1000
74,8,67,3400
76,2,62,0
32,45,80,3400
97,37,65,1300
50,31,52,3100
69,37,76,1500
33,28,68,3300
12,9,72,3900
51,14,79,3600
91,7,80,700
25,10,75,3200
47,30,57,0
81,31,55,900
29,48,69,4000
17,26,62,2000
108,29,72,2800
73,47,70,2700
104,52,78,100
92,1,70,2200
18,48,77,500
73,52,58,100
47,10,68,3900
56,25,69,4000
82,38,73,300
47,2,56,3000
88,9,67,2700
36,37,76,1600
42,24,54,1200
97,52,73,500
51,40,76,2900
40,11,73,1000
22,2,55,2000
108,3,71,1900
76,48,74,2000
61,21,57,1700
11,18,58,3500
35,52,53,1900
106,21,51,2900
76,4,66,1400
17,19,76,2700
39,19,66,2700
86,15,69,2500
94,40,62,4000
75,36,79,2500
15,26,70,1400
90,26,56,3000
72,51,79,3800
88,9,51,2000
78,36,63,600
13,22,79,1400
93,20,57,600
94,10,61,3000
22,37,50,500
38,33,66,800
15,11,60,3600
13,45,61,3100
11,25,51,2400
61,13,51,3800
37,5,66,100
23,49,67,1600
62,46,59,1100
103,35,50,1000
109,27,76,3500
33,37,50,3500
66,13,53,0
93,36,53,2800
44,39,59,300
68,44,78,1400
52,46,72,1600
13,29,62,1200
21,31,57,1700
48,27,70,700
20,12,69,2500
85,32,75,1400
85,3,63,3500
53,32,79,2500
107,9,74,2000
36,38,56,1200
46,43,75,3000
44,34,64,500
11,31,73,500
91,26,56,2800
83,1,79,2900
19,20,63,800
70,52,55,2400
56,49,59,2000
78,33,79,1400
71,7,71,1400
39,25,50,1100
21,30,57,2500
71,31,62,400
39,25,61,1100
45,30,71,2800
21,49,56,3400
12,51,76,2900
40,20,73,3300
25,49,61,2000
91,51,75,1700
29,15,54,1000
65,44,63,3000
38,19,64,2900
63,51,64,3100
19,32,55,300
56,38,70,4000
17,38,63,600
84,40,75,1700
13,9,52,100
97,9,71,3900
44,39,72,3300
99,35,63,3900
40,28,58,1600
29,21,80,1000
24,24,52,3300
13,45,52,1800
19,35,54,300
76,38,66,3300
68,35,53,100
90,39,56,1200
72,27,56,3500
101,27,50,300
22,3,75,3700
42,1,66,2200
10,43,80,2200
36,6,59,1300
100,35,63,2500
25,27,54,3900
61,19,56,3800
62,30,51,2200
50,4,73,4000
104,25,64,3200
38,42,66,3600
53,47,50,1000
57,4,64,500
28,2,72,400
93,33,79,4000
107,27,64,2000
63,9,51,0
33,5,60,3100
77,40,78,1100
68,6,53,1800
79,6,52,1700
77,1,77,2200
108,21,61,700
43,30,53,3700
61,11,55,1700
12,5,68,2300
61,45,50,100
84,10,80,3300
81,9,78,300
62,3,60,300
109,6,78,100
92,52,56,300
53,42,78,1900
76,45,74,2200
73,1,74,1100
75,16,76,3600
68,49,57,600
79,51,56,2500
30,52,78,2800
85,20,68,400
56,29,56,1300
46,37,79,2400
22,1,51,3400
43,11,66,1300
73,44,58,3500
57,32,73,2900
103,35,55,2500
93,42,78,1400
38,47,69,2000
49,46,68,900
97,19,72,3300
96,50,61,3700
81,11,72,300
73,43,58,800
87,10,51,3500
34,36,69,1500
67,25,74,1400
27,39,54,1000
11,10,73,2800
24,5,70,3000
23,24,67,2300
51,16,66,900
52,7,79,1900
56,22,71,1000
109,34,67,1500
34,50,68,4000
21,43,70,1700
12,51,59,2200
91,17,56,1900
44,43,59,0
14,28,52,2400
83,30,77,800
81,12,75,600
64,7,61,3100
39,22,66,300
26,44,61,1100
28,34,59,2700
87,9,60,3500
10,43,67,700
